|PE[0]_GPIO[64]|MCU_I2C1_SCL|18|?|?|
|PE[1]_GPIO[65]|MCU_I2C1_SDA|20|?|?|
|PE[2]_GPIO[66]|MCU_FLEXRAY_TXEN|156|O|?|
|PE[3]_GPIO[67]|MCU_FLEXRAY_RX|157|I|?|
|PE[4]_GPIO[68]|P11V8_SYNC|160|O|?|
|PE[5]_GPIO[69]|MCU_FLEXRAY_INH|161|O|?|
|PE[6]_GPIO[70]|P3V3_AUX_SYNC|167|O|?|
|PE[7]_GPIO[71]|MCU_A2B_IRQ|168|I|PU|
|PE[8]_GPIO[72]|MCU_I2C2_SDA|21|?|?|
|PE[9]_GPIO[73]|MCU_I2C2_SCL|22|?|?|
|PE[10]_GPIO[74]|RST_BTN_N|23|I|PU|
|PE[11]_GPIO[75]|MCU_WD_CLK|25|O|?|
|PE[12]_GPIO[76]|MCU_PHY1_INT_N|133|I|PU|
|PE[13]_GPIO[77]|MCU_PHY1_EN|127|O|?|
|PE[14]_GPIO[78]|POC_PWR_EN|136|O|?|
|PE[15]_GPIO[79]|PE15_SPI_SCK|137|O|?|
|PF[0]_GPIO[80]|PF0_SER2_INT_N|63|I|PU|
|PF[1]_GPIO[81]|MCU_LIN3_INH|64|I|PU|
|PF[2]_GPIO[82]|PF2_DIS_PWM|65|O|?|
|PF[3]_GPIO[83]|MCU_KEY_VOLP|66|I|PD|
|PF[4]_GPIO[84]|MCU_CAN1_ERR|67|I|PU|
|PF[5]_GPIO[85]|P5V_EN|68|O|?|
|PF[6]_GPIO[86]|STR_BTN_N|69|I|PU|
|PF[7]_GPIO[87]|MCU_PHY2_RST_N|70|O|?|
|PF[8]_GPIO[88]|MCU_WD_EN|42|O|?|
|PF[9]_GPIO[89]|MCU_EXP_RST_N|41|O|?|
|PF[10]_GPIO[90]|P3V8_EN|46|O|?|
|PF[11]_GPIO[91]|CORE_PG|47|I|PU|
|PF[12]_GPIO[92]|P5V_SYNC|43|O|?|
|PF[13]_GPIO[93]|MCU_LIN2_INH|49|I|PU|
|PF[14]_GPIO[94]|MCU_EPHY_MDIO|126|IO|?|
|PF[15]_GPIO[95]|MCU_SW_RMII_RXDV|125|I|?|
|PG[0]_GPIO[96]|MCU_EPHY_MDC|122|O|?|
|PG[1]_GPIO[97]|PG1_RMII_RCLK|121|O|?|
|PG[2]_GPIO[98]|MCU_SW_SPI_MOSI|16|O|?|
|PG[3]_GPIO[99]|MCU_SW_SPI_CS|15|O|?|
|PG[4]_GPIO[100]|MCU_SW_SPI_SCK|14|O|?|
|PG[5]_GPIO[101]|MCU_SW_SPI_MISO|13|I|?|
|PG[6]_GPIO[102]|MCU_CAN0_EN|38|O|?|
|PG[7]_GPIO[103]|MCU_CAN0_ERR|37|I|PU|
|PG[8]_GPIO[104]|MCU_PHY2_INT_N|34|I|PU|
|PG[9]_GPIO[105]|P3V8_SYNC|33|O|?|
|PG[10]_GPIO[106]|P3V3_SYNC|138|O|?|
|PG[11]_GPIO[107]|AMP4_MUTE|139|O|?|
|PG[12]_GPIO[108]|MCU_CAN1_EN|116|O|?|
|PG[13]_GPIO[109]|CSD_FAIL_DET_N|115|I|PU|
|PG[14]_GPIO[110]|PG14_SPI_IN|134|I|?|
|PG[15]_GPIO[111]|PG15_SPI_OUT|135|O|?|
|PH[0]_GPIO[112]|PH0_RMII_TXD1|117|O|?|
|PH[1]_GPIO[113]|PH1_RMII_TXD0|118|O|?|
|PH[2]_GPIO[114]|PH2_RMII_TXEN|119|O|?|
|PH[3]_GPIO[115]|MCU_SOC_GPIO|120|IO|?|
|PH[4]_GPIO[116]|MCU_FLEXRAY_EN|162|O|?|
|PH[5]_GPIO[117]|MCU_FLEXRAY_BGE|163|O|?|
|PH[6]_GPIO[118]|MCU_SOC_FASTBOOT|164|IO|?|
|PH[7]_GPIO[119]|MCU_FLEXRAY_RXEN|165|I|PU|
|PH[8]_GPIO[120]|MCU_FLEXRAY_ERRN|166|I|PU|
|PH[9]_GPIO[121]|MCU_JTAG_TCK|155|I|PU|
|PH[10]_GPIO[122]|MCU_JTAG_TMS|148|I|PU|
|PH[11]_GPIO[123]|MCU_KEY_VOLM|140|I|PD|
|PH[12]_GPIO[124]|MCU_HDR_0|141|IO|?|
|PH[13]_GPIO[125]|PH13_HUD_PWM|9|O|?|
|PH[14]_GPIO[126]|MCU_SAF_GP2|10|IO|?|
|PH[15]_GPIO[127]|MCU_SAF_SPI1_MOSI|8|O|?|
|PI[0]_GPIO[128]|MCU_LIN3_TX|172|?|?|
|PI[1]_GPIO[129]|MCU_LIN3_RX|171|?|?|
|PI[2]_GPIO[130]|PI2_CSDM_PWM|170|O|?|
|PI[3]_GPIO[131]|MCU_LIN3_NSLP|169|O|?|
|PI[4]_GPIO[132]|MCU_SW_RST_N|143|O|?|
|PI[5]_GPIO[133]|PI5_CSD_PWM|142|O|?|
|PI[6]_GPIO[134]|PI6_SPI_CS|11|I|?|
|PI[7]_GPIO[135]|P5V_PG|12|O|?|
|PI[8]_GPIO[136]|RESIN_N|108|I|PU|
|PI[11]_GPIO[139]|DIS_FAIL_DET_N|111|I|PU|
|PI[12]_GPIO[140]|MCU_SAF_RST_N|112|O|?|
|PI[13]_GPIO[141]|SOC_MCU_PWR_HU|113|IO|?|
|PI[14]_GPIO[142]|SOC_MCU_HB|76|IO|?|
|PI[15]_GPIO[143]|P3V3_AUX_PG|75|I|PU|
|PJ[0]_GPIO[144]|SOC_SLEEP|74|IO|?|
|PJ[1]_GPIO[145]|MCU_SAF_SPI1_MISO|73|I|?|
|PJ[2]_GPIO[146]|MCU_SAF_SPI1_CS_N|72|O|?|
|PJ[3]_GPIO[147]|TEMP_SENSE_AMP_ADC|71|AD|?|
|PJ[4]_GPIO[148]|MCU_SAF_SPI1_SCK|5|O|?|
|PORST|MCU_PORST|153|I|PU|
|RESET|MCU_RST|29|I|PU|
|XTAL|MCU_XTAL|56|?|?|
SEXXXXX-24,12/Nov/21 6:09 PM;xu.zhang;上述回复已认可，可以关闭
SEXXXXX-23,21/Oct/21 3:13 PM;xu.zhang;10/18 SE: 
PLL产生的PCIE参考时钟的Rj值如下：

!https://docx.ecarx.com.cn/uploader/f/wogQ4QZLjpv8FrY6?accessToken=eyJhbGciOiJIUzI1NiIsImtpZCI6ImRlZmF1bHQiLCJ0eXAiOiJKV1QifQ.eyJhdWQiOiJhY2Nlc3NfcmVzb3XXXXXXXXXXXXXXXXXXXXV
有两个pin供外部
SEXXXXX-23,28/Oct/21 5:03 PM;xu.zhang;上述回复已认可，可以关闭
SEXXXXX-22,27/Oct/21 7:30 PM;tom.sun;我司XXXXXXXXXXXXXXXXXXXXXXX是否有样板
SEXXXXX-22,02/Nov/21 6:28 PM;xu.zhang;R1074删掉的意思是：P3V8_IN不用接入到VDD_USB2 ? !https://cts.siengine.com:XXXXXXXXXXXXXXXXXeview|width=318,height=118!
SEXXXXX-22,02/Nov/21 6:31 PM;xu.zhang;上述信息XXXXXXXXXXXXXXXX已反馈在问题管控表中，现更新到此处
SEXXXXX-21,27/Oct/21 7:30 PM;tom.sun;我司XXXXXXXXXXXXXXXXXXXXXXX是否有样板
SEXXXXX-21,28/Oct/21 5:02 PM;xu.zhang;上述回复已认可，可以关闭
SEXXXXX-20,27/Oct/21 7:30 PM;tom.sun;我司XXXXXXXXXXXXXXXXXXXXXXX是否有样板
SEXXXXX-20,28/Oct/21 5:02 PM;xu.zhang;上述回复已认可，可以关闭
SEXXXXX-18,27/Oct/21 7:30 PM;tom.sun;我司XXXXXXXXXXXXXXXXXXXXXXX是否有样板
SEXXXXX-18,28/Oct/21 5:02 PM;xu.zhang;上述回复已认可，可以关闭
VCXXXXE-5,24/Jan/22 3:12 PM;wenqing.zhong;提错位置了，可以关闭
VCXXXXE-4,22/Dec/21 6:02 PM;xu.zhang;cancel
VCXXXXE-3,20/Dec/21 7:51 PM;xu.zhang;E04 SoC应用与SE1000 EVB的差异点.xlsx;https://cts.siengine.com:8443/secure/attachment/14296/E04+SoC%E5%BA%94%E7%94%A8%E4%B8%8ESE1000+EVB%E7%9A%84%E5%B7%AE%E5%BC%82%E7%82%B9.xlsx
VCXXXXE-3,20/Dec/21 7:59 PM;xu.zhang;image-2021-12-20-19-59-24-002.png;https://cts.siengine.com:8443/secure/attachment/14295/image-2021-12-20-19-59-24-002.png
VCXXXXE-3,20/Dec/21 8:07 PM;xu.zhang;image-2021-12-20-20-07-08-187.png;https://cts.siengine.com:8443/secure/attachment/14294/image-2021-12-20-20-07-08-187.png
SEXXXXX-31,01/Nov/21 11:37 AM;xu.zhang;image-2021-11-01-11-37-03-320.png;https://cts.siengine.com:8443/secure/attachment/14141/image-2021-11-01-11-37-03-320.png
SEXXXXX-31,28/Oct/21 12:17 PM;tom.sun;由于使用手册是XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXxx待文档更新后会一致
SEXXXXX-31,28/Oct/21 6:51 PM;xu.zhang;请解答描述中的6个问题。
SEXXXXX-31,28/Oct/21 7:39 PM;tom.sun;上述信号XXXXXXXXXXXXXXXXXXXXXx
SEXXXXX-31,29/Oct/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-31,30/Oct/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-31,30/Oct/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-31,01/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-31,02/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-31,03/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-31,03/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-31,03/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-31,03/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-31,05/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-31,05/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-31,05/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-31,05/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-31,06/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-31,13/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-32,29/Oct/21 9:41 AM;xu.zhang;80-pe986-1a_k_sa8155_pmm8155au_qam815xp_pin_assignment_and_gpio_configuration_spreadsheet.xlsm;https://cts.siengine.com:8443/secure/attachment/14127/80-pe986-1a_k_sa8155_pmm8155au_qam815xp_pin_assignment_and_gpio_configuration_spreadsheet.xlsm
SEXXXXX-32,27/Oct/21 7:30 PM;tom.sun;我司XXXXXXXXXXXXXXXXXXXXXXX是否有样板
SEXXXXX-32,28/Oct/21 6:58 PM;xu.zhang;HSIS:HarXXXXXXXXXXXXXXXXXXXXXXXXX

一般是XXXXXXXXXXXXXXXXXXXXN脚配置说明。
SEXXXXX-32,28/Oct/21 7:36 PM;tom.sun;请问有模板吗，需要提供哪些必要信息？
SEXXXXX-32,29/Oct/21 9:46 AM;xu.zhang;附件XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
SEXXXXX-32,30/Oct/21 10:46 PM;tom.sun;SEXXXX EVB上XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
SEXXXXX-32,01/Nov/21 11:40 AM;xu.zhang;贵司内部交流使用的文件是否可以提供呢？正式文件后补。
SEXXXXX-32,01/Nov/21 2:13 PM;tom.sun;目前都还在review，有些中断pin要改位置，请最终参考年底的正式版本。目前由于没有正式文件，请参考下列内容：
|Pin name|EVB Net name|Assignment|Note|
|GPIO0|A2B_B_TDM0_SCK_R|Connect to 2nd A2B: I2S0_SCK|?|
|GPIO1|A2B_B_TDM0_WS|Connect to 2nd A2B: I2S0_WS|?|
|GPIO2|A2B_B_TDM0_DIN|Connect to 2nd A2B: I2S0_DI|?|
|GPIO3|A2B_B_TDM0_DOUT_R|Connect to 2nd A2B: I2S0_DO|?|
|GPIO4|SD_PWR_EN|Connect to uSD card power enable circuit|?|
|GPIO5|SW_I2S1_SCK_R|Connect to Wifi/BT module and PCIE M.2 by 1:2 mux: I2S1_SCK|?|
|GPIO6|SW_I2S1_WS|Connect to Wifi/BT module and PCIE M.2 by 1:2 mux: I2S1_WS|?|
|GPIO7|SW_I2S1_DIN|Connect to Wifi/BT module and PCIE M.2 by 1:2 mux: I2S1_DI|?|
|GPIO8|SW_I2S1_DOUT_R|Connect to Wifi/BT module and PCIE M.2 by 1:2 mux: I2S1_DO|?|
|GPIO9|SOC_HDR0|To pin header: GPIO or I2S_MCLK1|?|
|GPIO10|GNSS_UART0_TXD|To GNSS: PERI0_UART_0_TX|?|
|GPIO11|GNSS_UART0_RXD|To GNSS: PERI0_UART_0_RX|?|
|GPIO12|SMI_I2C1_SDA|To SMI130: PERI0_I2C_1_SDA|?|
|GPIO13|SMI_I2C1_SCL|To SMI130: PERI0_I2C_1_SCL|?|
|GPIO14|BT_UART1_TXD|To BT/WIFI module: PERI0_UART_1_TX|?|
|GPIO15|BT_UART1_RXD|To BT/WIFI module: PERI0_UART_1_RX|?|
|GPIO16|BT_UART1_CTS|To BT/WIFI module: PERI0_UART_1_CTS|?|
|GPIO17|BT_UART1_RTS|To BT/WIFI module: PERI0_UART_1_RTS|?|
|GPIO18|SER2_SPI1_SCLK_R|To DP Serializer: PERI0_SPI_MST_1_SCLK|?|
|GPIO19|SER2_SPI1_SS0|To DP Serializer: PERI0_SPI_MST_1_SS0|?|
|GPIO20|SER2_SPI1_MISO|To DP Serializer: PERI0_SPI_MST_1_MISO|?|
|GPIO21|SER2_SPI1_MOSI_R|To DP Serializer: PERI0_SPI_MST_1_MOSI|?|
|GPIO22|DESER_ERR0_N|CAM_ERROR_N0 input from CSI0/1/2/3 DeSerializer 96722 on Camera Board|?|
|GPIO23|SOC_HDR1|To pin header: GPIO or PERI0_SPI_MST_2_SCLK or PERI0_SPI_SLV_1_SCLK|?|
|GPIO24|SOC_HDR2|To pin header: GPIO or PERI0_SPI_MST_2_SS0 or PERI0_SPI_SLV_1_SS|?|
|GPIO25|SOC_HDR3|To pin header: GPIO or PERI0_SPI_MST_2_MISO or PERI0_SPI_SLV_1_MOSI or PERI0_I2C_4_SDA|?|
|GPIO26|SOC_HDR4|To pin header: GPIO or PERI0_SPI_MST_2_MOSI or PERI0_SPI_SLV_1_MISO or PERI0_I2C_4_SCL|?|
|GPIO27|SOC_HDR24|To pin header: GPIO or I2S_MCLK2|?|
|GPIO28|SOC_TDM2_SCK_R|Connect to Audio Card: I2S2_SCK|To Mercury|
|GPIO29|SOC_TDM2_FSYNC|Connect to Audio Card: I2S2_WS|To Mercury|
|GPIO30|SOC_TDM2_DI|Connect to Audio Card: I2S2_DI|To Mercury|
|GPIO31|SOC_TDM2_DO_R|Connect to Audio Card: I2S2_DO|To Mercury|
|GPIO32|SOC_TDM3_SCK_R|Connect to Audio Card: I2S3_SCK|To Mercury|
|GPIO33|SOC_TDM3_FSYNC|Connect to Audio Card: I2S3_WS|To Mercury|
|GPIO34|SOC_TDM3_DI|Connect to Audio Card: I2S3_DI|To Mercury|
|GPIO35|SOC_TDM3_DO_R|Connect to Audio Card: I2S3_DO|To Mercury|
|GPIO36|SER1_I2S4_SCK_R|To DSI1 Serializer: I2S4_SCK|For PSD audio|
|GPIO37|SER1_I2S4_WS|To DSI1 Serializer: I2S4_WS|For PSD audio|
|GPIO38|PCIE_RST_N|PCIE_RESET_N|To level shift circuit for PCIE connectors?|
|GPIO39|SER1_I2S4_DOUT_R|To DSI1 Serializer: I2S4_DO|For PSD audio|
|GPIO40|DISP_EN_CSD|To VI connector as DISP_EN_CSD|See block diagram|
|GPIO41|DISP_EN_PSD|To VI connector as DISP_EN_PSD/CSDM|See block diagram|
|GPIO42|DHU_RFDM_WAKE|To HSD connector as DHU_RFD M_WAKE_UP|See block diagram|
|GPIO43|SER1_INT_N|To DSI1 Serializer as LVDS2_INT|See block diagram|
|GPIO44|SER1_PDB_N|To DSI1 Serializer as LVDS2_PDB|See block diagram|
|GPIO45|SER0_INT_N|To DSI0 Serializer as LVD S1_INT/96752_Error|See block diagram|
|GPIO46|SER0_PDB_N|To DSI0 Serializer as LVD S1_PDB?|See block diagram|
|GPIO47|96752_ERR_N|To HSD connector as 96752_Error|See block diagram|
|GPIO48|DHU_DIS_EN|To HSD connector as DHU_DIS_ENABLE|See block diagram|
|GPIO49|DHU_CSD_EN|To HSD connector as DHU_CSD_ENABLE|See block diagram|
|GPIO50|SER2_PDB_N|To DP Serializer as LVD S0_PDB/ (Analog switch en/RST)|See block diagram|
|GPIO51|SER2_INT_N|To DP Serializer as LVD S0_IN T/TP_Err/TP_IN T/ LOCK/TCON_ASIL|See block diagram|
|GPIO52|FT_UART0_TXD|To FT232: PERI1_UART_0_TX|Debug UART|
|GPIO53|FT_UART0_RXD|To FT232: PERI1_UART_0_RX|Debug UART|
|GPIO54|EXP_SER_I2C2_SDA|To GPIO Expander for Serializer on Display Board: PERI1_I2C_2_SDA|?|
|GPIO55|EXP_SER_I2C2_SCL|To GPIO Expander for Serializer on Display Board: PERI1_I2C_2_SCL|?|
|GPIO56|FLASH_SPI0_SCLK_R|To SPI Flash on CPU board: PERI1_SPI_MST_0_SCLK|?|
|GPIO57|FLASH_SPI0_SS0|To SPI Flash on CPU board: PERI1_SPI_MST_0_SS0|?|
|GPIO58|FLASH_SPI0_MISO|To SPI Flash on CPU board: PERI1_SPI_MST_0_MISO|?|
|GPIO59|FLASH_SPI0_MOSI_R|To SPI Flash on CPU board: PERI1_SPI_MST_0_MOSI|?|
|GPIO60|DESER_PWM0_R|To CSI0/1/2/3 DeSerializer 96722 on Camera Board: PERI1_PWM_0|AVM Camera Fsync|
|GPIO61|FT_UART1_TXD|To FT232: PERI1_UART_1_TX|Debug UART|
|GPIO62|FT_UART1_RXD|To FT232: PERI1_UART_1_RX|Debug UART|
|GPIO63|EXP_DESER_I2C3_SDA|To GPIO Expander for DeSerializer on Camera Board: PERI1_I2C_3_SDA|TCA9539QPWRQ1|
|GPIO64|EXP_DESER_I2C3_SCL|To GPIO Expander for DeSerializer on Camera Board: PERI1_I2C_3_SCL|TCA9539QPWRQ1|
|GPIO65|FT_UART2_TXD|To FT232: PERI1_UART_2_TX|Debug UART|
|GPIO66|FT_UART2_RXD|To FT232: PERI1_UART_2_RX|Debug UART|
|GPIO67|EXP_BASE_I2C4_SDA|To General GPIO Expander on Base Board: PERI1_I2C_4_SDA|?|
|GPIO68|EXP_BASE_I2C4_SCL|To General GPIO Expander on Base Board: PERI1_I2C_4_SCL|?|
|GPIO69|SER2_I2C5_SDA|To DP Serializer. Main UART PERI1_UART_3_TX or I2C PERI1_I2C_5_SDA|?|
|GPIO70|SER2_I2C5_SCL|To DP Serializer. Main UART PERI1_UART_3_RX or I2C PERI1_I2C_5_SCL|?|
|GPIO71|SER2_I2C6_SDA|To DP Serializer. PassThru UART PERI1_UART_4_TX or I2C PERI1_I2C_6_SDA|?|
|GPIO72|SER2_I2C6_SCL|To DP Serializer. PassThru UART PERI1_UART_4_RX or I2C PERI1_I2C_6_SCL|?|
|GPIO73|EXP_BASE_INT_N|Int: General GPIO Expander on Base Board|?|
|GPIO74|SAF_SPI1_SCLK_R|To Audio DSP: PERI1_SPI_MST_1_SCLK|?|
|GPIO75|SAF_SPI1_SS0|To Audio DSP: PERI1_SPI_MST_1_SS0|?|
|GPIO76|SAF_SPI1_MISO|To Audio DSP: PERI1_SPI_MST_1_MISO|?|
|GPIO77|SAF_SPI1_MOSI_R|To Audio DSP: PERI1_SPI_MST_1_MOSI|?|
|GPIO78|USB3_OC_N|To USB3 OC: USB3_OVERCURRENT_N|?|
|GPIO79|SER1_I2C7_SDA|To DSI1 Serializer. Main UART PERI1_UART_5_TX or I2C PERI1_I2C_7_SDA|?|
|GPIO80|SER1_I2C7_SCL|To DSI1 Serializer. Main UART PERI1_UART_5_RX or I2C PERI1_I2C_7_SCL|?|
|GPIO81|SER1_I2C8_SDA|To DSI1 Serializer. PassThru UART PERI1_UART_6_TX or I2C PERI1_I2C_8_SDA|?|
|GPIO82|SER1_I2C8_SCL|To DSI1 Serializer. PassThru UART PERI1_UART_6_RX or I2C PERI1_I2C_8_SCL|?|
|GPIO83|DESER_I2C9_SDA|To CSI4/5 DeSerializer. Main I2C PERI1_I2C_9_SDA or Main UART PERI1_UART_7_TX|?|
|GPIO84|DESER_I2C9_SCL|To CSI4/5 DeSerializer. Main I2C PERI1_I2C_9_SCL or Main UART PERI1_UART_7_RX|?|
|GPIO85|SENSE_I2C10_SDA|PERI1_I2C_10_SDA to 3.8V current sense circuit and reserved header for MFI|?|
|GPIO86|SENSE_I2C10_SCL|PERI1_I2C_10_SCL to 3.8V current sense circuit and reserved header for MFI|?|
|GPIO87|SOC_GPIO87|To CSI4/5 DeSerializer 96722(2nd): PERI1_PWM_1|Camera Fsync|
|GPIO88|DESER_I2C11_SDA|To CSI6/7 DeSerializer. Main I2C PERI1_I2C_11_SDA or Main UART PERI1_UART_9_TX|?|
|GPIO89|DESER_I2C11_SCL|To CSI6/7 DeSerializer. Main I2C PERI1_I2C_11_SCL or Main UART PERI1_UART_9_RX|?|
|GPIO90|SOC_HDR25|Reserve 0-ohm to pin header on CPU board :PERI1_I2C_12_SDA or UART PERI1_UART_10_TX|?|
|GPIO91|SOC_HDR26|Reserve 0-ohm to pin header on CPU board :PERI1_I2C_12_SCL or UART PERI1_UART_10_RX|?|
|GPIO92|DESER_I2C13_SDA|To CSI0/1/2/3 DeSerializer. Main I2C PERI1_I2C_13_SDA or Main UART PERI1_UART_11_TX|?|
|GPIO93|DESER_I2C13_SCL|To CSI0/1/2/3 DeSerializer. Main I2C PERI1_I2C_13_SCL or Main UART PERI1_UART_11_RX|?|
|GPIO94|SDARS_UART12_TXD|To Audio (SDARS): PERI1_UART_12_TX|Reserve 0-ohm to pin header|
|GPIO95|SDARS_UART12_RXD|To Audio (SDARS): PERI1_UART_12_RX|Reserve 0-ohm to pin header|
|GPIO96|M2_UART13_TXD|To M.2: PERI1_UART_13_TX|?|
|GPIO97|M2_UART13_RXD|To M.2: PERI1_UART_13_RX|?|
|GPIO98|M2_UART13_CTS|To M.2: PERI1_UART_13_CTS|?|
|GPIO99|M2_UART13_RTS|To M.2: PERI1_UART_13_RTS|?|
|GPIO100|BOOT_CFG1|To DIP Switch: BOOT_CONF1|?|
|GPIO101|BOOT_CFG2|To DIP Switch: BOOT_CONF2|?|
|GPIO102|I2C_PMIC1_SCLK|To PMIC: SAF_I2C_0_SCL|?|
|GPIO103|I2C_PMIC1_SDA|To PMIC: SAF_I2C_0_SDA|?|
|GPIO104|A2B_TEF_I2C_SCL|To 2^nd^ A2B and TEF3200 :SAF_I2C_1_SCL|T-type dual layout with MCU I2C|
|GPIO105|A2B_TEF_I2C_SDA|To 2^nd^ A2B and TEF3200 :SAF_I2C_1_SDA|T-type dual layout with MCU I2C|
|GPIO106|SER0_I2C0_SDA|To DSI0 Serializer. Main UART SAF_UART_0_TX or I2C PERI2_I2C_0_SDA|Safe UART|
|GPIO107|SER0_I2C0_SCL|To DSI0 Serializer. Main UART SAF_UART_0_RX or I2C PERI2_I2C_0_SCL|Safe UART|
|GPIO108|SER0_I2C2_SDA|To DSI0 Serializer. PassThru I2C SAF_I2C_2_SDA|0-ohm mux with GPIO118|
|GPIO109|SER0_I2C2_SCL|To DSI0 Serializer. PassThru I2C SAF_I2C_2_SCL|0-ohm mux with GPIO119|
|GPIO110|SOC_HDR7|To pin header on CPU board: SAF_GPIO_0|Safe GPIO|
|GPIO111|SOC_HDR8|To pin header on CPU board: SAF_GPIO_1|Safe GPIO|
|GPIO112|SOC_HDR9|To pin header on CPU board: GPIO or SAF_PWM_0 or GP_CLK0|?|
|GPIO113|SER0_SPI0_SCLK_R|To DSI0 Serializer: ?SAF_SPI_MST_0_SCLK|?|
|GPIO114|SER0_SPI0_SS0|To DSI0 Serializer:? SAF_SPI_MST_0_SS0|?|
|GPIO115|SER0_SPI0_MISO|To DSI0 Serializer:? SAF_SPI_MST_0_MISO|?|
|GPIO116|SER0_SPI0_MOSI_R|To DSI0 Serializer: ?SAF_SPI_MST_0_MOSI|?|
|GPIO117|DESER_ERR1_N|CAM_ERROR_N1 input from CSI4/5 DeSerializer 96722 on Camera Board|?|
|GPIO118|SER0_UART1_TXD|To DSI0 Serializer and pin header. PassThru UART SAF_UART_1_TX|Safe UART, 0-ohm mux with GPIO108|
|GPIO119|SER0_UART1_RXD|To DSI0 Serializer and pin header. PassThru UART SAF_UART_1_RX|Saft UART, 0-ohm mux with GPIO109|
|GPIO120|EXP_DESER_RST_N|Reset: GPIO Expander for DeSerializer on Camera Board|?|
|GPIO121|EXP_DESER_INT_N|Int: GPIO Expander for DeSerializer on Camera Board|?|
|GPIO122|EXP_SER_RST_N|Reset: GPIO Expander for Serializer on Display Board|?|
|GPIO123|EXP_SER_INT_N|Int: GPIO Expander for Serializer on Display Board|?|
|GPIO124|QSPI_DAT0_R|To QSPI Flash on CPU board: SAF_QSPI_DAT0|?|
|GPIO125|QSPI_DAT1_R|To QSPI Flash on CPU board: SAF_QSPI_DAT1|?|
|GPIO126|QSPI_DAT2_R|To QSPI Flash on CPU board: SAF_QSPI_DAT2|?|
|GPIO127|QSPI_DAT3_R|To QSPI Flash on CPU board: SAF_QSPI_DAT3|?|
|GPIO128|QSPI_SCLK_R|To QSPI Flash on CPU board: SAF_QSPI_SCLK|?|
|GPIO129|QSPI_SS0_N|To QSPI Flash on CPU board: SAF_QSPI_SS0|?|
|GPIO130|EXP_BASE_RST_N|Reset: General GPIO Expander on Base Board|?|
|GPIO131|SOC_HDR10|To pin header on CPU board: SAF_GPIO_2 or SAF_LCD_TE4|Safe GPIO, 1.8V|
|GPIO132|SOC_FAULT0|SOC_FAULT0 to MCU GPIO|Dedicated pin|
|GPIO133|SOC_FAULT1|SOC_FAULT1 to MCU GPIO|Dedicated pin|
|GPIO134|SOC_MCU_HDR11|To MCU GPIO and pin header: SAF_GPIO_3 or PERI2_UART_1_TX|Safe GPIO|
|GPIO135|SOC_MCU_HDR12|To MCU GPIO and pin header: SAF_GPIO_4 or PERI2_UART_1_RX|Safe GPIO|
|GPIO136|SOC_MCU_HDR13|To MCU GPIO and pin header: SAF_GPIO_5 or PERI2_UART_1_CTS or PERI2_I2C_1_SDA|Safe GPIO|
|GPIO137|SOC_MCU_HDR14|To MCU GPIO and pin header: SAF_GPIO_6 or PERI2_UART_1_RTS or PERI2_I2C_1_SCL|Safe GPIO|
|GPIO138|IPC_SPI_SCK|SPI SOC Slave to MCU Master. SPI_SLV_0_SCLK|Safe SPI|
|GPIO139|IPC_SPI_CS|SPI SOC Slave to MCU Master.SPI_SLV_0_SS|Safe SPI|
|GPIO140|IPC_SPI_MOSI|SPI SOC Slave to MCU Master.SPI_SLV_0_MOSI|Safe SPI|
